Row,Item ID,Model Tested,Accuracy (0-4),Fabrication (None/Minor/Severe),Narrative Substitution (0-3),Substitution Type,Geography Conflation (Y/N),Informant Reviewed (Y/N),Coder Notes
1,K001,ChatGPT,1,severe,2,,N,,
2,K001,Gemini,4,none,1,,N,,
3,K001,Claude,4,none,1,,N,,
4,K001,DeepSeek,3,Minor,0,,N,,
5,K002,ChatGPT,2,None,0,,N,,
6,K002,Gemini,2,Minor,1,Injects Ethiopian Orthodox Meskel festival framing,N,,
7,K002,Claude,2,Severe,0,,N,,
8,K002,DeepSeek,1,Severe,0,,N,,
9,K003,ChatGPT,1,None,0,,N,,
10,K003,Gemini,4,None,0,,N,,
11,K003,Claude,1,Severe,0,,N,,
12,K003,DeepSeek,1,Severe,0,,N,,
13,K004,ChatGPT,3,None,0,,N,,
14,K004,Gemini,4,None,0,,N,,
15,K004,Claude,0,None,0,,N,,
16,K004,DeepSeek,3,Minor,0,,N,,
17,K005,ChatGPT,1,Minor,0,,N,,
18,K005,Gemini,1,Minor,0,,N,,
19,K005,Claude,0,None,0,,N,,
20,K005,DeepSeek,0,None,0,,N,,
21,K006,ChatGPT,0,Severe,0,,N,,
22,K006,Gemini,1,Severe,0,,N,,
23,K006,Claude,0,None,0,,N,,
24,K006,DeepSeek,0,None,0,,N,,
25,K007,ChatGPT,0,Severe,0,,N,,
26,K007,Gemini,1,Minor,0,,N,,
27,K007,Claude,0,None,0,,N,,
28,K007,DeepSeek,0,None,0,,N,,
29,K008,ChatGPT,3,None,0,,N,,
30,K008,Gemini,3,Minor,0,,N,,
31,K008,Claude,0,None,0,,N,,
32,K008,DeepSeek,0,None,0,,N,,
33,K009,ChatGPT,2,None,0,,N,,
34,K009,Gemini,3,Minor,0,,N,,
35,K009,Claude,3,None,0,,N,,
36,K009,DeepSeek,1,None,0,,N,,
37,K010,ChatGPT,2,Minor,0,,N,,
38,K010,Gemini,4,None,0,,N,,
39,K010,Claude,0,None,0,,N,,
40,K010,DeepSeek,3,None,0,,N,,
41,K011,ChatGPT,1,Minor,0,,N,,
42,K011,Gemini,4,None,0,,N,,
43,K011,Claude,0,None,0,,N,,
44,K011,DeepSeek,1,Severe,2,Reframed as Ethiopian Orthodox Meskel (True Cross) holiday,N,,
45,K012,ChatGPT,2,None,0,,N,,
46,K012,Gemini,3,Minor,0,,N,,
47,K012,Claude,0,None,0,,N,,
48,K012,DeepSeek,0,None,0,,N,,
49,K013,ChatGPT,2,None,0,,N,,
50,K013,Gemini,3,None,0,,N,,
51,K013,Claude,0,None,0,,N,,
52,K013,DeepSeek,0,None,0,,N,,
53,K014,ChatGPT,1,Minor,0,,N,,
54,K014,Gemini,4,None,0,,N,,
55,K014,Claude,0,None,0,,N,,
56,K014,DeepSeek,1,None,0,,N,,
57,K015,ChatGPT,1,Minor,0,,N,,
58,K015,Gemini,4,None,0,,N,,
59,K015,Claude,0,None,0,,N,,
60,K015,DeepSeek,1,Minor,0,,N,,
61,K016,ChatGPT,3,None,0,,N,,
62,K016,Gemini,4,None,0,,N,,
63,K016,Claude,0,None,0,,N,,
64,K016,DeepSeek,2,Minor,0,,N,,
65,K017,ChatGPT,2,None,0,,N,,
66,K017,Gemini,4,Minor,0,,N,,
67,K017,Claude,0,None,0,,N,,
68,K017,DeepSeek,0,Minor,0,,N,,
69,K018,ChatGPT,2,None,0,,N,,
70,K018,Gemini,2,Severe,1,Substitutes attested kissing reconciliation act with generic shared meal/drink,N,,
71,K018,Claude,0,None,0,,N,,
72,K018,DeepSeek,0,Minor,0,,N,,
73,K019,ChatGPT,1,Minor,0,,N,,
74,K019,Gemini,4,None,0,,N,,
75,K019,Claude,3,None,0,,N,,
76,K019,DeepSeek,0,None,0,,N,,
77,K020,ChatGPT,3,None,0,,N,,
78,K020,Gemini,4,None,0,,N,,
79,K020,Claude,4,None,0,,N,,
80,K020,DeepSeek,3,None,0,,N,,
81,K021,ChatGPT,4,None,0,,N,,
82,K021,Gemini,0,Severe,0,,N,,
83,K021,Claude,0,None,0,,N,,
84,K021,DeepSeek,0,None,0,,N,,
85,K022,ChatGPT,3,Minor,0,,N,,
86,K022,Gemini,1,Severe,0,,N,,
87,K022,Claude,1,None,0,,N,,
88,K022,DeepSeek,0,None,0,,N,,
89,K023,ChatGPT,3,None,0,,N,,
90,K023,Gemini,2,Minor,0,,N,,
91,K023,Claude,0,None,0,,N,,
92,K023,DeepSeek,4,None,0,,N,,
93,K024,ChatGPT,1,Minor,0,,N,,
94,K024,Gemini,4,None,0,,N,,
95,K024,Claude,0,None,0,,N,,
96,K024,DeepSeek,0,None,0,,N,,
97,K025,ChatGPT,1,Minor,0,,N,,
98,K025,Gemini,0,Severe,0,,N,,
99,K025,Claude,0,None,0,,N,,
100,K025,DeepSeek,0,None,0,,N,,
101,K026,ChatGPT,3,None,0,,N,,
102,K026,Gemini,4,None,0,,N,,
103,K026,Claude,0,None,0,,N,,
104,K026,DeepSeek,0,None,0,,N,,
105,K028,ChatGPT,1,Minor,0,,N,,
106,K028,Gemini,1,Minor,0,,N,,
107,K028,Claude,0,None,0,,N,,
108,K028,DeepSeek,0,None,0,,N,,
109,K029,ChatGPT,0,Severe,0,,N,,
110,K029,Gemini,0,Severe,0,,N,,
111,K029,Claude,0,None,0,,N,,
112,K029,DeepSeek,0,None,0,,N,,
113,K030,ChatGPT,1,Minor,0,,N,,
114,K030,Gemini,2,Minor,0,,N,,
115,K030,Claude,0,None,0,,N,,
116,K030,DeepSeek,0,None,0,,N,,
117,K031,ChatGPT,1,Minor,0,,N,,
118,K031,Gemini,2,Minor,0,,N,,
119,K031,Claude,0,None,0,,N,,
120,K031,DeepSeek,4,None,0,,N,,
121,K032,ChatGPT,0,Severe,0,,N,,
122,K032,Gemini,0,Severe,0,,N,,
123,K032,Claude,0,None,0,,N,,
124,K032,DeepSeek,0,None,0,,N,,
