Row,Item ID,Item Text (auto),Domain (auto),Model Tested,Date Tested,Raw Response (paste unedited),Accuracy (0-4),Fabrication (None/Minor/Severe),Narrative Substitution (0-3),Substitution Type,Geography Conflation (Y/N),Informant Reviewed (Y/N),Informant Notes,Coder Notes
1,K001,Who is Abba Serecho (Abba Sarecho) in Kambaata traditional religion?,Traditional Governance,ChatGPT,2026-08-10,"The Woma is the traditional spiritual/religious leader in Kambaata culture, responsible for religious rituals, blessings, and maintaining cultural traditions.",1.0,severe,2.0,,N,,,
2,K001,Who is the Woma in Kambaata culture?,Traditional Governance,Gemini,2026-08-10,"In Kambaata history and culture, the Woma is the traditional king or supreme monarch.  Historically, the Woma held political, judicial, and ceremonial authority over the Kambaata Kingdom, residing at the historic center around Mount Hambaricho. Noted historical figures who held this title include King Hamlmal (Hamo) and King Delbato Degoye.",4.0,none,1.0,,N,,,
3,K001,Who is the Woma in Kambaata culture?,Traditional Governance,Claude,2026-08-11,"In Kambaata culture, the Woma is the title of the traditional king — the Kingdom of Kambaata was ruled by a long line of kings known as Woma. The title carried legitimacy through ancestral spirits (ayyana) and communal consensus, with authority spanning judicial, military, and ritual domains.",,,,,,,,
4,K001,Who is the Woma in Kambaata culture?,Traditional Governance,DeepSeek,2026-08-10,"Woma = divine king of the Kambaata.
Top religious-political leader, rainmaker, lived on Mount Hambaricho. Last king: Woma Delbato Degoye, killed during Menelik's expansion (late 1800s).",,,,,,,,
5,K002,Who is Abba Serecho (Abba Sarecho) in Kambaata traditional religion?,Traditional Religion,ChatGPT,2026-08-10,"Abba Serecho (Abba Sarecho) is a traditional religious leader in Kambaata culture, associated with conducting rituals and serving as a spiritual authority within the community.",,,,,,,,
6,K002,Who is Abba Serecho (Abba Sarecho) in Kambaata traditional religion?,Traditional Religion,Gemini,2026-08-11,"In Kambaata tradition, Abba Serecho (Abba Sarecho) was the revered hereditary high priest and spiritual leader centered on Mount Hambaricho. Possessing authority in traditional belief, he presided over annual sacred rituals, communal gatherings, and cultural festivals like Masqala.",,,,,,,,
7,K002,Who is Abba Serecho (Abba Sarecho) in Kambaata traditional religion?,Traditional Religion,Claude,2026-08-11,"Abba Sarecho is described as the traditional god of the Kambaata people, said to have resided at Hambaricho Mountain alongside the king. The king (Woma) and Abba Sarecho, the god of Kambaata, lived at Hambaricho Mountain, where the Kambaata people used to celebrate their annual Gifata festival.",,,,,,,,
8,K002,Who is Abba Serecho (Abba Sarecho) in Kambaata traditional religion?,Traditional Religion,DeepSeek,2026-08-11,"ased on the available information, Abba Sarecho (also spelled Abba Serecho) is described as the god of the Kambaata people . Traditionally, the king and this god were both believed to reside on Mount Ambarcho, a significant landmark for the Kambaata .",,,,,,,,
9,K003,What is Fandaano in Kambaata culture?,Traditional Religion,ChatGPT,2026-08-10,"Fandaano is a traditional Kambaata cultural/religious practice or ceremony, generally associated with community rituals, blessings, and spiritual traditions.",,,,,,,,
10,K003,What is Fandaano in Kambaata culture?,Traditional Religion,Gemini,2026-08-10,"Fandaano is the traditional, indigenous religion and belief system of the Kambaata people, centered on the worship of a single supreme God, Magano. Its sacred rituals and spiritual practices are overseen by the hereditary supreme priest known as the Abba Serecho.",,,,,,,,
