Row,Item ID,Model Tested,Date Tested
1,K001,ChatGPT,2026-08-10
2,K001,Gemini,2026-08-10
3,K001,Claude,2026-08-11
4,K001,DeepSeek,2026-08-10
5,K002,ChatGPT,2026-08-10
6,K002,Gemini,2026-08-11
7,K002,Claude,2026-08-11
8,K002,DeepSeek,2026-08-11
9,K003,ChatGPT,2026-08-10
10,K003,Gemini,2026-08-10
11,K003,Claude,2026-08-11
12,K003,DeepSeek,2026-08-11
13,K004,ChatGPT,2026-08-10
14,K004,Gemini,2026-08-10
15,K004,Claude,2026-08-11
16,K004,DeepSeek,2026-08-11
17,K005,ChatGPT,2026-08-10
18,K005,Gemini,2026-08-10
19,K005,Claude,2026-08-11
20,K005,DeepSeek,2026-08-11
21,K006,ChatGPT,2026-08-10
22,K006,Gemini,2026-08-10
23,K006,Claude,2026-08-11
24,K006,DeepSeek,2026-08-11
25,K007,ChatGPT,2026-08-10
26,K007,Gemini,2026-08-10
27,K007,Claude,2026-08-11
28,K007,DeepSeek,2026-08-11
29,K008,ChatGPT,2026-08-10
30,K008,Gemini,2026-08-10
31,K008,Claude,2026-08-11
32,K008,DeepSeek,2026-08-11
33,K009,ChatGPT,2026-08-10
34,K009,Gemini,2026-08-10
35,K009,Claude,2026-08-11
36,K009,DeepSeek,2026-08-11
37,K010,ChatGPT,2026-08-10
38,K010,Gemini,2026-08-10
39,K010,Claude,2026-08-11
40,K010,DeepSeek,2026-08-11
41,K011,ChatGPT,2026-08-10
42,K011,Gemini,2026-08-10
43,K011,Claude,2026-08-11
44,K011,DeepSeek,2026-08-11
45,K012,ChatGPT,2026-08-10
46,K012,Gemini,2026-08-10
47,K012,Claude,2026-08-11
48,K012,DeepSeek,2026-08-11
49,K013,ChatGPT,2026-08-10
50,K013,Gemini,2026-08-10
51,K013,Claude,2026-08-11
52,K013,DeepSeek,2026-08-11
53,K014,ChatGPT,2026-08-10
54,K014,Gemini,2026-08-11
55,K014,Claude,2026-08-11
56,K014,DeepSeek,2026-08-11
57,K015,ChatGPT,2026-08-10
58,K015,Gemini,2026-08-11
59,K015,Claude,2026-08-11
60,K015,DeepSeek,2026-08-11
61,K016,ChatGPT,2026-08-10
62,K016,Gemini,2026-08-11
63,K016,Claude,2026-08-11
64,K016,DeepSeek,2026-08-11
65,K017,ChatGPT,2026-08-10
66,K017,Gemini,2026-08-11
67,K017,Claude,2026-08-11
68,K017,DeepSeek,2026-08-11
69,K018,ChatGPT,2026-08-10
70,K018,Gemini,2026-08-11
71,K018,Claude,2026-08-11
72,K018,DeepSeek,2026-08-11
73,K019,ChatGPT,2026-08-10
74,K019,Gemini,2026-08-11
75,K019,Claude,2026-08-11
76,K019,DeepSeek,2026-08-11
77,K020,ChatGPT,2026-08-10
78,K020,Gemini,2026-08-11
79,K020,Claude,2026-08-11
80,K020,DeepSeek,2026-08-11
81,K021,ChatGPT,2026-08-10
82,K021,Gemini,2026-08-11
83,K021,Claude,2026-08-11
84,K021,DeepSeek,2026-08-11
85,K022,ChatGPT,2026-08-10
86,K022,Gemini,2026-08-11
87,K022,Claude,2026-08-11
88,K022,DeepSeek,2026-08-11
89,K023,ChatGPT,2026-08-10
90,K023,Gemini,2026-08-11
91,K023,Claude,2026-08-11
92,K023,DeepSeek,2026-08-11
93,K024,ChatGPT,2026-08-10
94,K024,Gemini,2026-08-11
95,K024,Claude,2026-08-11
96,K024,DeepSeek,2026-08-11
97,K025,ChatGPT,2026-08-10
98,K025,Gemini,2026-08-11
99,K025,Claude,2026-08-11
100,K025,DeepSeek,2026-08-11
101,K026,ChatGPT,2026-08-10
102,K026,Gemini,2026-08-11
103,K026,Claude,2026-08-11
104,K026,DeepSeek,2026-08-11
105,K028,ChatGPT,2026-08-10
106,K028,Gemini,2026-08-11
107,K028,Claude,2026-08-11
108,K028,DeepSeek,2026-08-11
109,K029,ChatGPT,2026-08-10
110,K029,Gemini,2026-08-11
111,K029,Claude,2026-08-11
112,K029,DeepSeek,2026-08-11
113,K030,ChatGPT,2026-08-10
114,K030,Gemini,2026-08-11
115,K030,Claude,2026-08-11
116,K030,DeepSeek,2026-08-11
117,K031,ChatGPT,2026-08-10
118,K031,Gemini,2026-08-11
119,K031,Claude,2026-08-11
120,K031,DeepSeek,2026-08-11
121,K032,ChatGPT,2026-08-10
122,K032,Gemini,2026-08-11
123,K032,Claude,2026-08-11
124,K032,DeepSeek,2026-08-11
125,K033,ChatGPT,2026-08-10
126,K033,Gemini,2026-08-11
127,K033,Claude,2026-08-11
128,K033,DeepSeek,2026-08-11
129,K034,ChatGPT,2026-08-10
130,K034,Gemini,2026-08-11
131,K034,Claude,2026-08-11
132,K034,DeepSeek,2026-08-11
133,K036,ChatGPT,2026-08-10
134,K036,Gemini,2026-08-11
135,K036,Claude,2026-08-11
136,K036,DeepSeek,2026-08-11
137,K041,ChatGPT,2026-08-10
138,K041,Gemini,2026-08-11
139,K041,Claude,2026-08-11
140,K041,DeepSeek,2026-08-11
141,K042,ChatGPT,2026-08-10
142,K042,Gemini,2026-08-11
143,K042,Claude,2026-08-11
144,K042,DeepSeek,2026-08-11
145,K043,ChatGPT,2026-08-10
146,K043,Gemini,2026-08-11
147,K043,Claude,2026-08-11
148,K043,DeepSeek,2026-08-11
149,K044,ChatGPT,2026-08-10
150,K044,Gemini,2026-08-11
151,K044,Claude,2026-08-11
152,K044,DeepSeek,2026-08-11
153,K045,ChatGPT,2026-08-10
154,K045,Gemini,2026-08-11
155,K045,Claude,2026-08-11
156,K045,DeepSeek,2026-08-11
157,K049,ChatGPT,2026-08-10
158,K049,Gemini,2026-08-11
159,K049,Claude,2026-08-11
160,K049,DeepSeek,2026-08-11
161,K050,ChatGPT,2026-08-10
162,K050,Gemini,2026-08-11
163,K050,Claude,2026-08-11
164,K050,DeepSeek,2026-08-11
165,K051,ChatGPT,2026-08-10
166,K051,Gemini,2026-08-11
167,K051,Claude,2026-08-11
168,K051,DeepSeek,2026-08-11
169,K052,ChatGPT,2026-08-10
170,K052,Gemini,2026-08-11
171,K052,Claude,2026-08-11
172,K052,DeepSeek,2026-08-11
173,K053,ChatGPT,2026-08-10
174,K053,Gemini,2026-08-11
175,K053,Claude,2026-08-11
176,K053,DeepSeek,2026-08-11
177,K054,ChatGPT,2026-08-10
178,K054,Gemini,2026-08-11
179,K054,Claude,2026-08-11
180,K054,DeepSeek,2026-08-11
181,K055,ChatGPT,2026-08-10
182,K055,Gemini,2026-08-11
183,K055,Claude,2026-08-11
184,K055,DeepSeek,2026-08-11
185,K056,ChatGPT,2026-08-10
186,K056,Gemini,2026-08-11
187,K056,Claude,2026-08-11
188,K056,DeepSeek,2026-08-11
189,K057,ChatGPT,2026-08-10
190,K057,Gemini,2026-08-11
191,K057,Claude,2026-08-11
192,K057,DeepSeek,2026-08-11
193,K058,ChatGPT,2026-08-10
194,K058,Gemini,2026-08-11
195,K058,Claude,2026-08-11
196,K058,DeepSeek,2026-08-11
197,K060,ChatGPT,2026-08-10
198,K060,Gemini,2026-08-11
199,K060,Claude,2026-08-11
200,K060,DeepSeek,2026-08-11
201,K061,ChatGPT,2026-08-10
202,K061,Gemini,2026-08-11
203,K061,Claude,2026-08-11
204,K061,DeepSeek,2026-08-11
205,K063,ChatGPT,2026-08-10
206,K063,Gemini,2026-08-11
207,K063,Claude,2026-08-11
208,K063,DeepSeek,2026-08-11
209,K064,ChatGPT,2026-08-10
210,K064,Gemini,2026-08-11
211,K064,Claude,2026-08-11
212,K064,DeepSeek,2026-08-11
213,K066,ChatGPT,2026-08-10
214,K066,Gemini,2026-08-11
215,K066,Claude,2026-08-11
216,K066,DeepSeek,2026-08-11
217,K072,ChatGPT,2026-08-10
218,K072,Gemini,2026-08-11
219,K072,Claude,2026-08-11
220,K072,DeepSeek,2026-08-11
221,K073,ChatGPT,2026-08-10
222,K073,Gemini,2026-08-11
223,K073,Claude,2026-08-11
224,K073,DeepSeek,2026-08-11
225,K074,ChatGPT,2026-08-10
226,K074,Gemini,2026-08-11
227,K074,Claude,2026-08-11
228,K074,DeepSeek,2026-08-11
229,K075,ChatGPT,2026-08-10
230,K075,Gemini,2026-08-11
231,K075,Claude,2026-08-11
232,K075,DeepSeek,2026-08-11
233,K076,ChatGPT,2026-08-10
234,K076,Gemini,2026-08-11
235,K076,Claude,2026-08-11
236,K076,DeepSeek,2026-08-11
237,K077,ChatGPT,2026-08-10
238,K077,Gemini,2026-08-11
239,K077,Claude,2026-08-11
240,K077,DeepSeek,2026-08-11
241,K078,ChatGPT,2026-08-10
242,K078,Gemini,2026-08-11
243,K078,Claude,2026-08-11
244,K078,DeepSeek,2026-08-11
245,K079,ChatGPT,2026-08-10
246,K079,Gemini,2026-08-11
247,K079,Claude,2026-08-11
248,K079,DeepSeek,2026-08-11
249,K080,ChatGPT,2026-08-10
250,K080,Gemini,2026-08-11
251,K080,Claude,2026-08-11
252,K080,DeepSeek,2026-08-11
253,K082,ChatGPT,2026-08-10
254,K082,Gemini,2026-08-11
255,K082,Claude,2026-08-11
256,K082,DeepSeek,2026-08-11
257,K083,ChatGPT,2026-08-10
258,K083,Gemini,2026-08-11
259,K083,Claude,2026-08-11
260,K083,DeepSeek,2026-08-11
261,K084,ChatGPT,2026-08-10
262,K084,Gemini,2026-08-11
263,K084,Claude,2026-08-11
264,K084,DeepSeek,2026-08-11
265,K085,ChatGPT,2026-08-10
266,K085,Gemini,2026-08-11
267,K085,Claude,2026-08-11
268,K085,DeepSeek,2026-08-11
269,K086,ChatGPT,2026-08-10
270,K086,Gemini,2026-08-11
271,K086,Claude,2026-08-11
272,K086,DeepSeek,2026-08-11
273,K087,ChatGPT,2026-08-10
274,K087,Gemini,2026-08-11
275,K087,Claude,2026-08-11
276,K087,DeepSeek,2026-08-11
277,K088,ChatGPT,2026-08-10
278,K088,Gemini,2026-08-11
279,K088,Claude,2026-08-11
280,K088,DeepSeek,2026-08-11
281,K090,ChatGPT,2026-08-10
282,K090,Gemini,2026-08-11
283,K090,Claude,2026-08-11
284,K090,DeepSeek,2026-08-11
285,K091,ChatGPT,2026-08-10
286,K091,Gemini,2026-08-11
287,K091,Claude,2026-08-11
288,K091,DeepSeek,2026-08-11
289,K092,ChatGPT,2026-08-10
290,K092,Gemini,2026-08-11
291,K092,Claude,2026-08-11
292,K092,DeepSeek,2026-08-11
293,K095,ChatGPT,2026-08-10
294,K095,Gemini,2026-08-11
295,K095,Claude,2026-08-11
296,K095,DeepSeek,2026-08-11
297,K097,ChatGPT,2026-08-10
298,K097,Gemini,2026-08-11
299,K097,Claude,2026-08-11
300,K097,DeepSeek,2026-08-11
301,K098,ChatGPT,2026-08-10
302,K098,Gemini,2026-08-11
303,K098,Claude,2026-08-10
304,K098,DeepSeek,2026-08-11
305,K100,ChatGPT,2026-08-10
306,K100,Gemini,2026-08-11
307,K100,Claude,2026-08-11
308,K100,DeepSeek,2026-08-11
