Row,Item ID,Model,Accuracy_0_4,Fabrication_None_Minor_Severe,Narrative_Substitution_0_3,Geography_Conflation_Y_N,Informant_Reviewed_Y_N,Informant_Notes,Coder_Notes
1,K001,ChatGPT,1.0,severe,2.0,N,,,
2,K001,Gemini,4.0,none,1.0,N,,,
3,K001,Claude,,,,,,,
4,K001,DeepSeek,,,,,,,
5,K002,ChatGPT,,,,,,,
6,K002,Gemini,,,,,,,
7,K002,Claude,,,,,,,
8,K002,DeepSeek,,,,,,,
9,K003,ChatGPT,,,,,,,
10,K003,Gemini,,,,,,,
11,K003,Claude,,,,,,,
12,K003,DeepSeek,,,,,,,
13,K004,ChatGPT,,,,,,,
14,K004,Gemini,,,,,,,
15,K004,Claude,,,,,,,
16,K004,DeepSeek,,,,,,,
17,K005,ChatGPT,,,,,,,
18,K005,Gemini,,,,,,,
19,K005,Claude,,,,,,,
20,K005,DeepSeek,,,,,,,
21,K006,ChatGPT,,,,,,,
22,K006,Gemini,,,,,,,
23,K006,Claude,,,,,,,
24,K006,DeepSeek,,,,,,,
25,K007,ChatGPT,,,,,,,
26,K007,Gemini,,,,,,,
27,K007,Claude,,,,,,,
28,K007,DeepSeek,,,,,,,
29,K008,ChatGPT,,,,,,,
30,K008,Gemini,,,,,,,
31,K008,Claude,,,,,,,
32,K008,DeepSeek,,,,,,,
33,K009,ChatGPT,,,,,,,
34,K009,Gemini,,,,,,,
35,K009,Claude,,,,,,,
36,K009,DeepSeek,,,,,,,
37,K010,ChatGPT,,,,,,,
38,K010,Gemini,,,,,,,
39,K010,Claude,,,,,,,
40,K010,DeepSeek,,,,,,,
41,K011,ChatGPT,,,,,,,
42,K011,Gemini,,,,,,,
43,K011,Claude,,,,,,,
44,K011,DeepSeek,,,,,,,
45,K012,ChatGPT,,,,,,,
46,K012,Gemini,,,,,,,
47,K012,Claude,,,,,,,
48,K012,DeepSeek,,,,,,,
49,K013,ChatGPT,,,,,,,
50,K013,Gemini,,,,,,,
51,K013,Claude,,,,,,,
52,K013,DeepSeek,,,,,,,
53,K014,ChatGPT,,,,,,,
54,K014,Gemini,,,,,,,
55,K014,Claude,,,,,,,
56,K014,DeepSeek,,,,,,,
57,K015,ChatGPT,,,,,,,
58,K015,Gemini,,,,,,,
59,K015,Claude,,,,,,,
60,K015,DeepSeek,,,,,,,
61,K016,ChatGPT,,,,,,,
62,K016,Gemini,,,,,,,
63,K016,Claude,,,,,,,
64,K016,DeepSeek,,,,,,,
65,K017,ChatGPT,,,,,,,
66,K017,Gemini,,,,,,,
67,K017,Claude,,,,,,,
68,K017,DeepSeek,,,,,,,
69,K018,ChatGPT,,,,,,,
70,K018,Gemini,,,,,,,
71,K018,Claude,,,,,,,
72,K018,DeepSeek,,,,,,,
73,K019,ChatGPT,,,,,,,
74,K019,Gemini,,,,,,,
75,K019,Claude,,,,,,,
76,K019,DeepSeek,,,,,,,
77,K020,ChatGPT,,,,,,,
78,K020,Gemini,,,,,,,
79,K020,Claude,,,,,,,
80,K020,DeepSeek,,,,,,,
81,K021,ChatGPT,,,,,,,
82,K021,Gemini,,,,,,,
83,K021,Claude,,,,,,,
84,K021,DeepSeek,,,,,,,
85,K022,ChatGPT,,,,,,,
86,K022,Gemini,,,,,,,
87,K022,Claude,,,,,,,
88,K022,DeepSeek,,,,,,,
89,K023,ChatGPT,,,,,,,
90,K023,Gemini,,,,,,,
91,K023,Claude,,,,,,,
92,K023,DeepSeek,,,,,,,
93,K024,ChatGPT,,,,,,,
94,K024,Gemini,,,,,,,
95,K024,Claude,,,,,,,
96,K024,DeepSeek,,,,,,,
97,K025,ChatGPT,,,,,,,
98,K025,Gemini,,,,,,,
99,K025,Claude,,,,,,,
100,K025,DeepSeek,,,,,,,
101,K026,ChatGPT,,,,,,,
102,K026,Gemini,,,,,,,
103,K026,Claude,,,,,,,
104,K026,DeepSeek,,,,,,,
105,K028,ChatGPT,,,,,,,
106,K028,Gemini,,,,,,,
107,K028,Claude,,,,,,,
108,K028,DeepSeek,,,,,,,
109,K029,ChatGPT,,,,,,,
110,K029,Gemini,,,,,,,
111,K029,Claude,,,,,,,
112,K029,DeepSeek,,,,,,,
113,K030,ChatGPT,,,,,,,
114,K030,Gemini,,,,,,,
115,K030,Claude,,,,,,,
116,K030,DeepSeek,,,,,,,
117,K031,ChatGPT,,,,,,,
