Item ID,Domain
K001,Traditional Governance
K002,Traditional Religion
K003,Traditional Religion
K004,Customary Law
K005,Customary Law
K006,Customary Law
K007,Customary Law
K008,Customary Law
K009,Customary Law
K010,Traditional Governance
K011,Masala Festival
K012,Cooperative Labor
K013,Cooperative Labor
K014,Cooperative Labor
K015,Cooperative Labor
K016,Customary Law
K017,Customary Law
K018,Customary Law
K019,Funerary Rites
K020,Marriage Practices
K021,Marriage Practices
K022,Marriage Practices
K023,Marriage Practices
K024,Marriage Practices
K025,Marriage Practices
K026,Marriage Practices
K028,Marriage Practices
K029,Marriage Practices
K030,Childbearing Rites
K031,Childbearing Rites
K032,Childbearing Rites
K033,Traditional Governance
K034,Traditional Governance
K036,Traditional Governance
K041,Linguistic Customs
K042,Domestic Architecture
K043,Domestic Architecture
K044,Domestic Architecture
K045,Livestock Culture
K049,Color Systems
K050,Rites of Passage
K051,Kinship Structure
K052,Customary Law
K053,Calendar / Timekeeping
K054,Calendar / Timekeeping
K055,Calendar / Timekeeping
K056,Calendar / Timekeeping
K057,Calendar / Timekeeping
K058,Traditional Religion
K060,Food & Drinks
K061,Trade & Exchange
K063,Material Culture
K064,Material Culture
K066,Agriculture / Enset Culture
K072,Traditional Religion
K073,Traditional Religion
K074,Traditional Religion
K075,Traditional Religion
K076,Traditional Religion
K077,Traditional Religion
K078,Traditional Religion
K079,Traditional Religion
K080,Traditional Religion
K082,Livestock Culture
K083,Livestock Culture
K084,Funerary Rites
K085,Funerary Rites
K086,War & Conflict
K087,War & Conflict
K088,War & Conflict
K090,Traditional Governance
K091,Traditional Governance
K092,Traditional Governance
K095,Geography
K097,Geography
K098,Geography
K100,Geography
